ad_id,age,gender,percentage
unknown,55-64,male,0
unknown,65+,female,0
unknown,35-44,unknown,0
unknown,25-34,female,0
unknown,55-64,unknown,0
unknown,65+,male,0
unknown,45-54,female,0
unknown,25-34,male,0
unknown,18-24,female,0
unknown,45-54,male,0
unknown,18-24,male,0
unknown,18-24,unknown,0
unknown,65+,unknown,0
unknown,25-34,unknown,0
unknown,35-44,female,0
unknown,45-54,unknown,0
unknown,55-64,female,0
unknown,35-44,male,0
unknown,55-64,male,0
unknown,65+,female,0
unknown,35-44,unknown,0
unknown,25-34,female,0
unknown,55-64,unknown,0
unknown,65+,male,0
unknown,45-54,female,0
unknown,25-34,male,0
unknown,18-24,female,0
unknown,45-54,male,0
unknown,18-24,male,0
unknown,18-24,unknown,0
unknown,65+,unknown,0
unknown,25-34,unknown,0
unknown,35-44,female,0
unknown,45-54,unknown,0
unknown,55-64,female,0
unknown,35-44,male,0
unknown,55-64,male,0
unknown,65+,female,0
unknown,35-44,unknown,0
unknown,25-34,female,0
unknown,55-64,unknown,0
unknown,65+,male,0
unknown,45-54,female,0
unknown,25-34,male,0
unknown,18-24,female,0
unknown,45-54,male,0
unknown,18-24,male,0
unknown,18-24,unknown,0
unknown,65+,unknown,0
unknown,25-34,unknown,0
unknown,35-44,female,0
unknown,45-54,unknown,0
unknown,55-64,female,0
unknown,35-44,male,0
unknown,18-24,unknown,0.000207
unknown,45-54,female,0.169137
unknown,65+,female,0.100519
unknown,65+,unknown,0.002464
unknown,55-64,male,0.017249
unknown,55-64,female,0.140546
unknown,55-64,unknown,0.002709
unknown,45-54,male,0.020465
unknown,45-54,unknown,0.003687
unknown,18-24,female,0.027387
unknown,35-44,male,0.02528
unknown,35-44,female,0.322624
unknown,35-44,unknown,0.005116
unknown,25-34,male,0.020164
unknown,25-34,female,0.112858
unknown,25-34,unknown,0.003104
unknown,18-24,male,0.009631
unknown,65+,male,0.016854
unknown,25-34,unknown,0.001751
unknown,25-34,female,0.17299
unknown,25-34,male,0.15723
unknown,35-44,unknown,0.001362
unknown,35-44,female,0.173379
unknown,35-44,male,0.118118
unknown,45-54,unknown,0.000973
unknown,45-54,female,0.119285
unknown,45-54,male,0.076667
unknown,55-64,unknown,0.000584
unknown,55-64,female,0.076667
unknown,55-64,male,0.04028
unknown,65+,unknown,0.000195
unknown,65+,female,0.036582
unknown,65+,male,0.023936
unknown,18-24,unknown,0
unknown,18-24,male,0
unknown,18-24,female,0
